date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:00	91960/91960	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2005:57:07%20GMT	https://www.listadefornecedoresoficial.com/black-friday-97-reais	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/black-friday-97-reais.html	(from )
02:57:02	299/299	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2005:57:11%20GMT	https://www.listadefornecedoresoficial.com/robots.txt		(from )
02:57:02	369640/369640	---M--	200	added ('OK')	application/octet-stream	etag:0x8D775E14BFE0F13	https://blob.contato.io/machine-user-images/logo-fornecedores-das-grifes-oficial-2020-img-1003021-20191130190438.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/logo-fornecedores-das-grifes-oficial-2020-img-1003021-20191130190438.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:02	126894/126894	---M-Z	200	added ('OK')	text/css	etag:%22bff388614b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/css/bootstrap.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/css/bootstrap.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:02	55491/55491	---M-Z	200	added ('OK')	text/css	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/css/style.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/css/style.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:02	39751/39751	---M-Z	200	added ('OK')	text/css	etag:%228f89988614b2d61:0%22	https://www.listadefornecedoresoficial.com/Content/font-awesome.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/Content/font-awesome.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:03	8068/8068	---M-Z	200	added ('OK')	text/css	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/css/magnific-popup.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/css/magnific-popup.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:03	15128/15128	---M-Z	200	added ('OK')	text/css	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/css/iconfont-style.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/css/iconfont-style.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:03	74361/74361	---M-Z	200	added ('OK')	text/css	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/scripts/animations/animate.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/scripts/animations/animate.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:03	3641/3641	---M-Z	200	added ('OK')	text/css	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/css/popup.css	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/css/popup.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:04	1658/1658	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202017%2018:37:13%20GMT	https://blob.contato.io/machine-files/builder/menudrop.css	C:/Meus%20Sites/listablack/blob.contato.io/machine-files/builder/menudrop.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:04	1750/1750	---M--	200	added ('OK')	image/png	etag:%2272f7face1b3d61:0%22	https://www.listadefornecedoresoficial.com/content/images/icon.png	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/content/images/icon.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:05	95935/95935	---M-Z	200	added ('OK')	application/javascript	etag:%2280ffec8514b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/scripts/jquery-1.11.2.min.js	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/scripts/jquery-1.11.2.min.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:06	2437/2437	---M-Z	200	added ('OK')	application/javascript	etag:%22322c428614b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/scripts/html5shiv.js	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/scripts/html5shiv.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:06	4596/4596	---M-Z	200	added ('OK')	application/javascript	etag:%227eef428614b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/scripts/respond.min.js	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/scripts/respond.min.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:06	63595/63595	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2017:39:25%20GMT	https://blob.contato.io/machine-files/builder/allpages.builder.css	C:/Meus%20Sites/listablack/blob.contato.io/machine-files/builder/allpages.builder.css	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:07	90273/90273	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2008%20Nov%202020%2005:57:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/listablack/connect.facebook.net/en_US/fbevents.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:07	73440/73440	---M--	200	added ('OK')	application/octet-stream	etag:0x8D879CCEED25494	https://blob.contato.io/machine-user-images/projeto-bot%c3%a3o-ok-3-img-1003021-20201026133355.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/projeto-bot%c3%a3o-ok-3-img-1003021-20201026133355.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:08	1540053/1540053	---M--	200	added ('OK')	application/octet-stream	etag:0x8D78D48CBC32425	https://blob.contato.io/machine-user-images/mosaico-img-1003021-20191230135328.jpg	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/mosaico-img-1003021-20191230135328.jpg	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:08	47160/47160	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7879D71101130	https://blob.contato.io/machine-user-images/headline-fgd-m2-img-1003021-20191223084416.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/headline-fgd-m2-img-1003021-20191223084416.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:08	58134/58134	---M--	200	added ('OK')	application/octet-stream	etag:0x8D87B6EA6A119FE	https://blob.contato.io/machine-user-images/GIF-67-img-1003021-20201028152407.gif	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/GIF-67-img-1003021-20201028152407.gif	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:08	33422/33422	---M--	200	added ('OK')	application/octet-stream	etag:0x8D879DF8543B7E1	https://blob.contato.io/machine-user-images/FDG-HEADLINE-img-1003021-20201026154659.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/FDG-HEADLINE-img-1003021-20201026154659.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:08	1636/1636	---M--	200	added ('OK')	application/octet-stream	etag:0x8D3C52C252CB035	https://blob.contato.io/machine-user-images/img-18341-20160815134943.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/img-18341-20160815134943.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:09	109572/109572	---M--	200	added ('OK')	application/octet-stream	etag:0x8D77660FEBB4B61	https://blob.contato.io/machine-user-images/cta-fdg-img-1003021-20191201101845.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/cta-fdg-img-1003021-20191201101845.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:09	15284/15284	---M--	200	added ('OK')	application/octet-stream	etag:0x8D61020105AE0FE	https://blob.contato.io/machine-user-images/quero-fazer-minha-inscri%c3%a7%c3%a3o-img-1003021-20180901122533.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/quero-fazer-minha-inscri%c3%a7%c3%a3o-img-1003021-20180901122533.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:09	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Nov%202020%2005:57:19%20GMT	https://i.cdngif.com/psxl3.gif	C:/Meus%20Sites/listablack/i.cdngif.com/psxl3.18.delayed	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:10	18033/18033	---M--	200	added ('OK')	image/gif	etag:38427f7c14df3dc9bc0fdb7e95823cfc	https://i.countdownmail.com/psxl3.gif	C:/Meus%20Sites/listablack/i.countdownmail.com/psxl3.gif	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:10	284946/284946	---M--	200	added ('OK')	application/octet-stream	etag:0x8D775CB6FAB345E	https://blob.contato.io/machine-user-images/mockups-fsdfds-img-1003021-20191130162810.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/mockups-fsdfds-img-1003021-20191130162810.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:10	909911/909911	---M--	200	added ('OK')	application/octet-stream	etag:0x8D775D4287B389A	https://blob.contato.io/machine-user-images/cscss-img-1003021-20191130173035.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/cscss-img-1003021-20191130173035.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:11	1182770/1182770	---M--	200	added ('OK')	application/octet-stream	etag:0x8D61367A4C0FFFE	https://blob.contato.io/machine-user-images/1535124254-img-1003021-20180905163548.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/1535124254-img-1003021-20180905163548.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:11	17693/17693	---M--	200	added ('OK')	application/octet-stream	etag:0x8D780216B0F9A3B	https://blob.contato.io/machine-user-images/CLIQUE-AQUI-E-GANHE-67-OFF-1-img-1003021-20191213200850.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/CLIQUE-AQUI-E-GANHE-67-OFF-1-img-1003021-20191213200850.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:12	78931/78931	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7768324DF10C8	https://blob.contato.io/machine-user-images/Design-sem-nome-6-img-1003021-20191201142312.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/Design-sem-nome-6-img-1003021-20191201142312.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
